Locality,Title,Location,Rent_raw,Rent_inr,Deposit_raw,Sqft_raw,Sqft,Price_per_sqft,Parking,Furnishing,Available_from,Property_type,Detail_URL
Baner,"Office Space in Baner, Pune for Rent","madhavbaug society, Ram EnterPrises","₹ 45,000 No Extra Maintenance",45000,₹ 1.4 Lacs,750 sqft,750,60,Parking,Furnished,14-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9ffd838a0e2560018a0e51ea3a201f/detail
Baner,"Office Space in Baner, Pune for Rent","Mohan nagar, Bitwise Terratower","₹ 85,000 + ₹ 10,000 Maintenance",85000,₹ 5.1 Lacs,250 sqft,250,68,Parking,Unfurnished,09-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9faf84996b166b01996b3978c510f1/detail
Baner,"Office Space in Baner, Pune for Rent","Balewadi High Street rd, Livspace - Interior Design Studio, Baner","₹ 1.45 Lacs + ₹ 16,000 Maintenance",145000,₹ 7.5 Lacs,550 sqft,550,93.55,Parking,Unfurnished,16-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f8d85995080b7019950eac3941858/detail
Baner,"Office Space in Balewadi, Pune for Rent","Baner-Balewadi Road , Behind Fatcook","₹ 27,000 No Extra Maintenance",27000,₹ 1 Lac,650 sqft,650,41.54,Parking,Unfurnished,11-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-balewadi-pune/8a9f8fc492d63bd10192d682e0ea09a0/detail
Baner,"Office Space in Baner, Pune for Rent","45 Baner Street, Manipal Hospital Baner",₹ 1.1 Lacs + No Extra Maintenance,110000,₹ 3.3 Lacs,655 sqft,655,66.47,Parking,Unfurnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f8a8393395d4d019339a7b9841f03/detail
Baner,"Office Space in Baner, Pune for Rent","Banglore Highway Pashan Exit, Yamaha Motor Showroom - Raya Motors","₹ 35,000 + ₹ 4,000 Maintenance",35000,₹ 1 Lac,575 sqft,575,60.87,Parking,Unfurnished,12-08-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f878597682250019768628e9d18cc/detail
Baner,"Office Space in Baner, Pune for Rent","Baner Rd, Behind Croma",₹ 1.5 Lacs No Extra Maintenance,150000,₹ 4.5 Lacs,643 sqft,643,91.3,Parking,Unfurnished,06-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9f9384995c111901995c5057ac190e/detail
Baner,"Shop in Baner, Pune for Rent","Baner-Mahalunge Rd, ZUDIO - Baner","₹ 38,000 No Extra Maintenance",38000,₹ 2 Lacs,330 sqft,330,115.15,Parking,Semi Furnished,19-11-2025,Shop,https://www.nobroker.in/property/commercial/rent/shop-in-baner-pune/8a9f8a8499320257019932e5a77b5f50/detail
Baner,"Office Space in Baner, Pune for Rent","Baner Rd, behind Croma Showroom, Baner, Pyramid Axis","₹ 90,000 + ₹ 3,000 Maintenance",90000,₹ 4 Lacs,500 sqft,500,180,Parking,Furnished,19-11-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/8a9fa6838c2ae9a4018c2b7e09ce48f9/detail
Baner,"Office Space in Baner, Pune for Rent","Yash Orchid Private Road, TaTa Motors Cars Showroom - Garve, Baner","₹ 50,000 No Extra Maintenance",50000,₹ 2 Lacs,640 sqft,640,78.13,Parking,Unfurnished,27-10-2025,Office Space,https://www.nobroker.in/property/commercial/rent/office-space-in-baner-pune/ff8081816aaa98ff016aad43f4d013d5/detail
